date,workerid,amount
Thu Feb 14 08:33:35 PST 2019,A1DKZ5MAIZC6L2,0.5
Thu Feb 14 09:55:08 PST 2019,A3KDU5W3PF3E1O,0.5
Fri Feb 15 03:43:01 PST 2019,A3PT15XRN1X8VE,0.5
Fri Feb 15 19:21:14 PST 2019,A31XTRV97LY6GP,0.5
Sat Feb 16 14:51:52 PST 2019,A1ZKC0TEXMF5T5,0.5
Sat Feb 16 16:51:29 PST 2019,A35KK6F378H3UV,0.5
Sun Feb 17 01:57:52 PST 2019,A1VN1RZWHY1TOR,0.5
Sun Feb 17 05:14:58 PST 2019,A20A4AY0RSV5JR,0.5
Sun Feb 17 14:42:00 PST 2019,AS9SXT42OA70Q,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
